wk_monday,measures
2020-03-02,"RIVM adviseert mensen in Noord-Brabant
met klachten thuis te blijven tot ze hersteld zijn."
2020-03-09,"Rutte adviseerd:
- geen hand te schudden
- mensenin Noord-Brabant de komende zeven dagen zoveel mogelijk vanuit huis werken
Advies thuiswerken wordt uitgebreid naar het hele land

Bijeenkomsten van meer dan 100 mensen zijn verboden
Inkomende vluchten zijn verboden uit risicovolle regio's:
- China
- Hong Kong
- Iran
- Zuid-Korea
- Italië.
Intelligent lockdown:
- schoolen dicht tot 6. April
- Horeca dicht
- sportclubs dicht
- Seksclub dicht
- Advies 1,5 afstand te houden"
2020-03-16,Begrafenissen zijn beperkt tot maximaal 30 rouwenden
2020-03-23,"strengere lockdown aangekondigd:
- niet meer dan drie mensen samen toegestaan in openbare ruimte
- verbod op massabijeenkomsten tot 1 juni
- Geldboetes worden ingevoerd
- Contact beroepen opgedragen te sluiten (Nail studio's, kapper, tattoo studio's en physio's etc.)"
2020-03-30,"lockdown verlengd tot 28 april
Rutte roept Belgen en Duitsers op om tijdens 
het paasweekend weg te blijven uit Nederland"
2020-04-20,"De KNVB bevestigt dat het voetbalseizoen
wordt gegecancelled"
2020-05-04,"Vondelpark:
14:45 drie zij-ingangen dicht, twee hoofdingangen geopend
15:30 fietsers weren
16:15 doseren
19:00 Afschlalen"
2020-05-11,"Lockdown versoepeld:
- Contact beroepen terug aan de slag
- Lagere schoolen 50% open
- horeca tot 30 gasten
- OV 40% capaciteit "
2020-05-18,"Vondelpark:
15:00 Doseren"
2020-05-25,"Vondelpark:
15:30 zij.ingangen dicht, fiesters weren
20:00 ingang weer open
16:00 zij-ingang dicht, alleen hofdingnag open, fietsers weren
20:00 zij ingnag weer open"
2020-06-01,"Terassen open

OV: Mondcapjes verplichtend"
2020-06-29,Sexwerker an de slag
2020-07-13,"Kalverstraat:
13:45 1-richtingsverkeer
17:00 1-richtingsverkeer gedeactiveerd
De Wallen:
1-richtingsverkeer (heele weekend)
Inzet Hosts (Stoofsteeg, Oudekennissteeg)
22:30 tijdelijk afsluit antaal straten
Kalverstraat:
14:15 1-richtingsverkeer
17:15 1-richtingsverkeer gedeactiveerd
De Wallen:
1-richtingverkeer
Inzet Hosts (Stoofsteeg, Oudekennissteeg)"
2020-07-20,"De Wallen:
18:00 1-richtingsverkeer
22:45 Ingnag Doseerd Doseren - Monnikenstraat en Korte Niezel alleen uitgang
23:29 Doseren gedeactiverd
01.08 1-richtingsverkeer gedeactiveerd
Kalverstraat:
14:20 1-richtingsverkeer
17:34 1-richtingsverkeer gedeactiverd
De Wallen:
18:00 1-richtingsverkeer
01:00 1-richtingsverkeer gedeactiveerd"
2020-07-27," De Wallen:
18:00 1-richtingsverkeer
22:45 Ingang doseerd - Monnikenstraat en Korte Niezel alleen uitgang
23:29 Ingang doseren gedeactiveerd
01:08 1-richtingsverkeer  gedeactiveerd
De Wallen:
09:00 1-richtingsverkeer
01:00 1-richtingsverkeer gedeactiveerd
De Wallen:
09:00 1-richtingsverkeer
01:00 1-richtingsverkeer gedeactiveerd
Kalverstraat:
14:49 1-ichtingsverkeer
17:15 richtingsverkeer gedeactiveerd"
2020-08-03,"De Wallen:
21:45 1-richtingsverkeer
01:00 1-richtingsverkeer  gedeactiveerd
De Wallen:
21:30 1-richtingsverkeer
01:00 1-richtingsverkeer  gedeactiveerd"
2020-08-10,"De Wallen:
21:10 1-richtingsverkeer
01:00 1-richtingsverkeer gedeactiveerd
Kalverstraat:
16:00 1-richtingsverkeer
17:09 1-richtingsverkeer gedeactiveerd
Nieuwendijk:
16:23 1-richtingsverkeer
17:17 1-richtingsverkeer gedeactiveerd
De Wallen:
21:05 1-richtingsverkeer
22:45 Afsluit De Wallen Noord
23:32 Afsluit gedeactiveerd
01:00 1-richtingsverkeer gedeactiveerd"
2020-08-17,"De Wallen:
21:10 1-richtingsverkeer
01:00 1-richtingsverkeer gedeactiveerd
De Wallen:
21:05 1-richtingverkeer
21:56 Ingang doseren
22:45 Stop Instroom 
->Oudekennissteeg/Oudezijds Achterburgwal
23:32 1-richtingverkeer
00:45 1-richtingverkeer gedeactiveerd"
2020-08-24,"De Wallen:
21:43 1-richtingsverkeer 
01:45 1-richtingsverkeer  gedeactiveerd
De Wallen:
21:43  1-richtingsverkeer
01:45  1-richtingsverkeer  gedeactiveerd
De Wallen:
20:55 1-richtingsverkeer 
01:45 1-richtingsverkeer  gedeactiveerd"
2020-08-31,"De Wallen:
21:50 1-richtingsverkeer 
01:45 1-richtingsverkeer  gedeactiveerd
De Wallen:
21:00 1-richtingsverkeer
01:45 1-richtingsverkeer  gedeactiveerd"
2020-09-07,"De Wallen:
21:40 1-richtingsverkeer
01:45 1-richtingsverkeer  gedeactiveerd

De Wallen:
21:10 1-richtingsverkeer
01:45 1-richtingsverkeer  gedeactiveerd
"
2020-09-14,"Duitsland: code rood voor Amsterdam
Belgie: code rood voor Amsterdam
-
-"
2020-09-21,"-
-
-"
2020-09-28,"Horeca sluit om 22:00
Max. 30 personen samen in binnenruimtes
Thuiswerken
Beperk het aantal reizen
Geen public bij sportwedstrijden
Dringend advies mondkapje te dtragen in
    openbare binnenruim
-
-
-"
2020-10-05,"-
-
-"
2020-10-12,"Sluiten van alle horeca
Beperking van het aantal personen dat mag samen zijn
Sporten voor volwassenen ingeperkt
-
-
-"
2020-10-19,"Geen verkoop alcohol tussen 20:00-07:00
-
-"
2020-10-26,"Tijdelijk verbod straatartiesten en muzikanten
Tijdelijk verkoopverbod alcohol voor detailhandel,    
     cafeterias en slijterijen

Hosts ingezet voor monitoring en vinger aan de
pols houden op markten/winkelgebieden in
stadsdelen: Centrum, West, Nieuw West, Oost,
Zuidoost en Noord."
2020-11-02,"• Aanspreekteams ingezet op Kalverstraat-
Nieuwendijk ten aanzien van afstand houden.
(Meer locaties toevoegen komende weken wordt
besproken in het VRAC/Tactisch overleg Crowd)
• Hosts ingezet voor monitoring en vinger aan de
pols houden op markten/winkelgebieden in
stadsdelen: Centrum, West, Nieuw West,
Zuidoost en Noord."
2020-11-09," Hosts ingezet voor monitoring en vinger aan de
pols houden op markten/winkelgebieden in
stadsdelen: Centrum, West, Nieuw West,
Zuidoost en Noord.
• Ten Katemarkt anders ingedeeld, Noordermarkt volgt.
Indeling zorgt voor meer ruimte
• Plein 40-45 blijft veel regelen maar het werkt
• Aanspreekteams verspreid over de stad aan het werk
• Campagne Feestinkopen doen? Kom in de ochtend
door de weeks en ga op tijd van start"
2020-11-16,"Hosts ingezet: monitoring op markten/
winkelgebieden in stadsdelen: Centrum,
West, Nieuw West, Zuidoost en Noord
.- Noordermarkt anders ingedeeld, zorgt
voor meer ruimte
• Aanspreekteams over de stad aan het
werk
• Campagne ‘Feestinkopen doen’ Kom in
de ochtend –doordeweeks- en op tijd"
2020-11-23,"Kalverstraat:
15:45 1-richtingsverkeer
18:00 1-richtingsverkeer gedeactiveerd
18:20 afzetting politie
19:00 straat weer open
Nieuwendijk:
16:00 1-richtingsverkeer
18:00 1-richtingsverkeer gedeactiveerd

Kalverstraat:
12:45 1-richtingsverkeer 
17:15 1-richtingsverkeerl gedeactiveerd
Nieuwendijk:
13:45 1-richtingsverkeer
17:001-richtingsverkeer gedeactiveerd

"
2020-11-30,Dragen van mondkapjes verplicht 
